Engine,url,Make,Model,id,ModalInfo,Dealership,Location,first_seen,Price,last_seen
"1,2",https://www.nettiauto.com/volkswagen/golf/8671596,Volkswagen,Golf,8671596,"Comfortline 1,2 TSI 77 BlueM 5ov DSG - Maksuton toimitus sinua lähimpään liikkeeseemme! - Hyvitämme vähintään 100",True,Kokkola,17.07.2017,13980,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8901626,Volkswagen,Golf,8901626,hyvin pidetty ja siisti,True,Raahe,17.07.2017,9900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8793460,Volkswagen,Golf,8793460,"Comfortline 1,4 TSI 92 kW (125 hv) DSG-automaatti",True,Pori,17.07.2017,29799,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8062247,Volkswagen,Golf,8062247,"Comfortline 1,6 TDI Automaatti",True,Vaasa,17.07.2017,18900,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8890337,Volkswagen,Golf,8890337,1.6 TDI 77kW Comfortline BlueMotion Technology DSG,True,Helsinki,17.07.2017,14900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8258677,Volkswagen,Golf,8258677,"Comfortline 1,2 TSI 77 kW (105 hv) BlueMotion Technology DSG-automaatti 4-ov Vähän ajettu, 1 omistaja",False,Espoo,17.07.2017,26800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8196748,Volkswagen,Golf,8196748,GTE Plug-In Hybrid 150 kW (204 hv) DSG-automaatti,True,Vaasa,17.07.2017,45536,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8948874,Volkswagen,Golf,8948874,Trendline 1.4 TSI 90kw 5-ov,True,Toholampi,17.07.2017,9800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8924152,Volkswagen,Golf,8924152,"Comfortline 1,4 TSI 90kw 5-ov - Maksuton toimitus sinua lähimpään liikkeeseemme! - Hyvitämme vähintään 1000€ va",True,Turku,17.07.2017,11980,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8771036,Volkswagen,Golf,8771036,"Highline 1,4 TSI 92 kW",True,Tampere,17.07.2017,30900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8835824,Volkswagen,Golf,8835824,"Highline 2,0 TDI 103 kW (140 hv) BlueMotion Technology DSG WEBASTO , KORKOTARJOUS 1,75%",True,Espoo,17.07.2017,15890,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8680527,Volkswagen,Golf,8680527,"Comfortline 1,0 TSI 81 kW (110 hv)",True,Alavus,17.07.2017,24331,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8805866,Volkswagen,Golf,8805866,"Highline 2,0 TDI BlueM 5ov DSG (MY14)",True,Porvoo,17.07.2017,22900,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8908403,Volkswagen,Golf,8908403,"Trend 1,2 TSI 77 BlueMot Tech 5ov",True,Jämsä,17.07.2017,11400,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8876938,Volkswagen,Golf,8876938,1.6 TDI 77kW Highline BlueMotion Technology DSG,True,Helsinki,17.07.2017,20900,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8774285,Volkswagen,Golf,8774285,GTE Plug-In Hybrid 150 kW (204 hv) DSG-automaatti,True,Vaasa,17.07.2017,45055,17.07.2017
"1,2",https://www.nettiauto.com/volkswagen/golf/8793993,Volkswagen,Golf,8793993,"Trendline 1,2 TSI 63 BlueM 5ov (MY15)",True,Porvoo,17.07.2017,14700,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8735510,Volkswagen,Golf,8735510,"Comfortline 2,0 TDI 103 kW 4-ovinen. 6 KK KOROTONTA JA KULUTONTA MAKSUAIKAA",True,Seinäjoki,17.07.2017,13400,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8932435,Volkswagen,Golf,8932435,"Comfortline 1,4 TSI 90kw 5-ov",False,Kuopio,17.07.2017,12000,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8939532,Volkswagen,Golf,8939532,"Highline 1,6 TDI DSG *HIEROVAT PENKIT, NAVI, KAMERA,WEBASTO*",True,Kotka,17.07.2017,18900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8779933,Volkswagen,Golf,8779933,"GTI 2.0 155 kW (210 hv) DSG-autom. 4-ovinen **** Rahoituskorko vain 1,9 % koko autovalikoimaan la 22",True,Vaasa,17.07.2017,21900,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8641642,Volkswagen,Golf,8641642,"Comfortline 1,0 TSI 81 DSG",True,Varkaus,17.07.2017,30850,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8526926,Volkswagen,Golf,8526926,"Comfortline 1,6 TDI 81 kW (110 hv) BLUEMOTION 4-ov",True,Lahti,17.07.2017,20880,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8927989,Volkswagen,Golf,8927989,"GTE Plug-In Hybrid 150 DSG-aut. Navigaatiojärj., ACC-cruise, LED-ajov., 1-omistaja, suoraan VW:ltä meille.",True,Espoo,17.07.2017,34800,17.07.2017
"1,4",https://www.nettiauto.com/volkswagen/golf/8927712,Volkswagen,Golf,8927712,"Comfortline 1,4 TSI ACT, 103kW / 140hv, 4-Ovinen",True,Hyvinkää,17.07.2017,18950,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8857197,Volkswagen,Golf,8857197,2.0 TDI 110kW Highline BlueMotion DSG,True,Helsinki,17.07.2017,20900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8201012,Volkswagen,Golf,8201012,"Comfortline 2,0 TDI 103 kW (140 hv) 4MOTION 6 KK KOROTONTA JA KULUTONTA MAKSUAIKAA!",True,Vantaa,17.07.2017,,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8933999,Volkswagen,Golf,8933999,"Trendline 1,0 TSI 85hv",True,Porvoo,17.07.2017,21662,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8881064,Volkswagen,Golf,8881064,"Comfortline 1,0 TSI 81 DSG",True,Kuusamo,17.07.2017,29900,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8906270,Volkswagen,Golf,8906270,"Trendline 1,0 TSI 63 kW (85 hv)",True,Vaasa,17.07.2017,21386,17.07.2017
"1,6",https://www.nettiauto.com/volkswagen/golf/8908249,Volkswagen,Golf,8908249,"*** TARJOA / VÄHÄN AJETTU/ VIRHEETÖN / KIIRE*** Comfort 1,6 TDI 77 BlueMot Tech 5ov",False,Vantaa,17.07.2017,13800,17.07.2017
"1,0",https://www.nettiauto.com/volkswagen/golf/8906276,Volkswagen,Golf,8906276,"Comfortline 1,0 TSI 81 kW (110 hv)",True,Vaasa,17.07.2017,25705,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8596587,Volkswagen,Golf,8596587,"GTI 2,0 155 kW (210 hv) 4-ovinen",True,Ylivieska,17.07.2017,23900,17.07.2017
"2,0",https://www.nettiauto.com/volkswagen/golf/8842947,Volkswagen,Golf,8842947,"Comfortline 2,0 TDI 103kw BlueMoT 5-ov",True,Hyvinkää,17.07.2017,7950,17.07.2017
